Hero,Degree,Betweenness,Closeness,PageRank,Community,Role
WOLVERINE 2013,0.006070038910505837,2.2896247072869846e-05,0.38260078016740906,0.00011850947393745939,4,Other
COLOSSUS 2013,0.006070038910505837,2.2896247072869846e-05,0.38260078016740906,0.00011850947393745939,4,Other
PHOENIX 2013,0.004669260700389106,2.1966932595519167e-05,0.37631348969345996,9.975954896357113e-05,4,Other
STORM 2013,0.005291828793774319,2.0034225025335976e-05,0.3794874333580164,0.00010855534052688336,4,Other
NIGHTCRAWLER 2013,0.0014007782101167316,0.0,0.3383851717607947,5.4909241141656684e-05,4,Other
BEAST 2013,0.0014007782101167316,0.0,0.3383851717607947,5.4909241141656684e-05,4,Other
ANGEL 2013,0.0014007782101167316,0.0,0.3383851717607947,5.4909241141656684e-05,4,Other
PROFESSOR XAVIER 201,0.0031128404669260703,9.543371433478453e-06,0.3556189707233421,7.938858311390392e-05,4,Other
"NAGAN, DR. ARTHUR",0.009494163424124515,1.1236357161073625e-05,0.42320000185570406,0.00016014687528478888,0,Other
CHONDU,0.011361867704280156,0.00010279454780051809,0.42891047449084074,0.00019176866395878412,0,Other
"MORGAN, JERROLD JERR",0.009494163424124515,1.1236357161073625e-05,0.42320000185570406,0.00016014687528478888,0,Other
RUBY,0.01151750972762646,1.496618381999282e-05,0.43754625585642815,0.00019061340225629296,0,Other
"WILLIAMS, MINDY",0.0062256809338521405,5.598271076458551e-06,0.4239019657653639,0.00011379210160775393,8,Other
ARAGORN,0.019766536964980545,0.00010705222611277761,0.45229013365535636,0.00031058724186114035,0,Other
OSHIMA,0.001245136186770428,0.0,0.3358592455456849,4.8526710534601346e-05,8,Other
SILVER SAMURAI/KENYU,0.028326848249027238,0.0012869011191586714,0.4585881731277321,0.00046349960058275364,4,Other
GOGO TAMAGO/,0.003579766536964981,8.745413524491613e-06,0.3455969290861451,8.636436990286839e-05,8,Other
EVERWRAITH/,0.001245136186770428,0.0,0.3358592455456849,4.8526710534601346e-05,8,Other
BAYMAX,0.012295719844357978,0.00018515210717998196,0.39789813962854603,0.00020238765130490885,0,Other
"TAKACHIHO, MRS.",0.001245136186770428,0.0,0.3358592455456849,4.852671053460134e-05,8,Other
SUNFIRE/SHIRO YOSHID,0.058988326848249034,0.004121766913602594,0.5002388371449705,0.0008984980280487972,8,Other
HONEY LEMON/,0.003579766536964981,8.745413524491613e-06,0.3455969290861451,8.636436990286839e-05,8,Other
"TAKACHIHO, HIRO",0.012295719844357978,0.00018515210717998196,0.39789813962854603,0.00020238765130490885,0,Other
STRONG GUY/GUIDO CAR,0.05058365758754864,0.0006232908404677265,0.4886089345377458,0.000728804223788308,8,Other
"HUDSON, HEATHER",0.0617898832684825,0.003026208335012894,0.4928301780326723,0.0009420216996024312,8,Other
